kodewil,urban,jenis_kelamin,usia,rokok_tembakau,rokok_elektrik,rokok_all,pop,hitung_rt,source,kodeprov,usia_group
1101,Rural,Laki-laki,10,0,0,0,1054,0,SUSENAS,11,10-18
1102,Rural,Laki-laki,10,0,0,0,850,0,SUSENAS,11,10-18
1103,Rural,Laki-laki,10,0,0,0,1779,0,SUSENAS,11,10-18
1104,Rural,Laki-laki,10,0,0,0,1487,0,SUSENAS,11,10-18
1105,Rural,Laki-laki,10,0,0,0,3272,0,SUSENAS,11,10-18
1106,Rural,Laki-laki,10,0,0,0,1497,0,SUSENAS,11,10-18
1107,Rural,Laki-laki,10,0,0,0,1509,0,SUSENAS,11,10-18
1108,Rural,Laki-laki,10,0,0,0,2450,0,SUSENAS,11,10-18
1109,Rural,Laki-laki,10,0,0,0,4191,0,SUSENAS,11,10-18
1110,Rural,Laki-laki,10,0,0,0,3188,0,SUSENAS,11,10-18
1111,Rural,Laki-laki,10,0,0,0,5020,0,SUSENAS,11,10-18
1112,Rural,Laki-laki,10,0,0,0,858,0,SUSENAS,11,10-18
1113,Rural,Laki-laki,10,0,0,0,513,0,SUSENAS,11,10-18
1114,Rural,Laki-laki,10,0,0,0,1415,0,SUSENAS,11,10-18
1115,Rural,Laki-laki,10,0,0,0,923,0,SUSENAS,11,10-18
1116,Rural,Laki-laki,10,0,0,0,780,0,SUSENAS,11,10-18
1117,Rural,Laki-laki,10,0,0,0,1304,0,SUSENAS,11,10-18
1118,Rural,Laki-laki,10,0,0,0,1691,0,SUSENAS,11,10-18
1172,Rural,Laki-laki,10,0,0,0,127,0,SUSENAS,11,10-18
1173,Rural,Laki-laki,10,0,0,0,189,0,SUSENAS,11,10-18
1174,Rural,Laki-laki,10,0,0,0,475,0,SUSENAS,11,10-18
1175,Rural,Laki-laki,10,0,0,0,866,0,SUSENAS,11,10-18
1201,Rural,Laki-laki,10,0,0,0,974,0,SUSENAS,12,10-18
1202,Rural,Laki-laki,10,0,0,0,3551,0,SUSENAS,12,10-18
1203,Rural,Laki-laki,10,0,0,0,2651,0,SUSENAS,12,10-18
1204,Rural,Laki-laki,10,0,0,0,2666,0,SUSENAS,12,10-18
1205,Rural,Laki-laki,10,0,0,0,2185,0,SUSENAS,12,10-18
1206,Rural,Laki-laki,10,0,0,0,1400,0,SUSENAS,12,10-18
1207,Rural,Laki-laki,10,0,0,0,2401,0,SUSENAS,12,10-18
1208,Rural,Laki-laki,10,0,0,0,4479,0,SUSENAS,12,10-18
1209,Rural,Laki-laki,10,0,0,0,8441,0,SUSENAS,12,10-18
1210,Rural,Laki-laki,10,0,0,0,2267,0,SUSENAS,12,10-18
1211,Rural,Laki-laki,10,0,0,0,2095,0,SUSENAS,12,10-18
1212,Rural,Laki-laki,10,0,0,0,3605,0,SUSENAS,12,10-18
1213,Rural,Laki-laki,10,0,0,0,6510,0,SUSENAS,12,10-18
1214,Rural,Laki-laki,10,0,0,0,3202,0,SUSENAS,12,10-18
1215,Rural,Laki-laki,10,0,0,0,1285,0,SUSENAS,12,10-18
1216,Rural,Laki-laki,10,0,0,0,434,0,SUSENAS,12,10-18
1217,Rural,Laki-laki,10,0,0,0,1034,0,SUSENAS,12,10-18
1218,Rural,Laki-laki,10,0,0,0,3490,0,SUSENAS,12,10-18
1219,Rural,Laki-laki,10,0,0,0,2235,0,SUSENAS,12,10-18
1220,Rural,Laki-laki,10,0,0,0,2529,0,SUSENAS,12,10-18
1221,Rural,Laki-laki,10,0,0,0,3025,0,SUSENAS,12,10-18
1222,Rural,Laki-laki,10,0,0,0,3209,0,SUSENAS,12,10-18
1223,Rural,Laki-laki,10,0,0,0,3308,0,SUSENAS,12,10-18
1224,Rural,Laki-laki,10,0,0,0,2013,0,SUSENAS,12,10-18
1225,Rural,Laki-laki,10,0,0,0,864,0,SUSENAS,12,10-18
1277,Rural,Laki-laki,10,0,0,0,822,0,SUSENAS,12,10-18
1278,Rural,Laki-laki,10,0,0,0,633,0,SUSENAS,12,10-18
1301,Rural,Laki-laki,10,0,0,0,767,0,SUSENAS,13,10-18
1302,Rural,Laki-laki,10,0,0,0,2865,0,SUSENAS,13,10-18
1303,Rural,Laki-laki,10,0,0,0,3098,0,SUSENAS,13,10-18
1304,Rural,Laki-laki,10,0,0,0,1820,0,SUSENAS,13,10-18
1305,Rural,Laki-laki,10,0,0,0,2178,0,SUSENAS,13,10-18
1306,Rural,Laki-laki,10,0,0,0,1492,0,SUSENAS,13,10-18
1307,Rural,Laki-laki,10,0,0,0,2297,0,SUSENAS,13,10-18
1308,Rural,Laki-laki,10,0,0,0,2785,0,SUSENAS,13,10-18
1309,Rural,Laki-laki,10,0,0,0,2655,0,SUSENAS,13,10-18
1310,Rural,Laki-laki,10,0,0,0,1431,0,SUSENAS,13,10-18
1311,Rural,Laki-laki,10,0,0,0,1420,0,SUSENAS,13,10-18
1312,Rural,Laki-laki,10,0,0,0,3823,0,SUSENAS,13,10-18
1371,Rural,Laki-laki,10,0,0,0,403,0,SUSENAS,13,10-18
1373,Rural,Laki-laki,10,0,0,0,87,0,SUSENAS,13,10-18
1376,Rural,Laki-laki,10,0,0,0,3,0,SUSENAS,13,10-18
1377,Rural,Laki-laki,10,0,0,0,129,0,SUSENAS,13,10-18
1401,Rural,Laki-laki,10,0,0,0,2491,0,SUSENAS,14,10-18
